gcs_path	production_gcs_path	change_type	old_version	new_version	exit_code	local_md5	remote_md5	verified	old_version_removed
gs://pre-cawg/staging_20260511/metabolomics-untargeted/metadata/human-precovid-sed-adu_t11-adipose_metab-u-lrpneg_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/metabolomics-untargeted/metadata/human-precovid-sed-adu_t11-adipose_metab-u-lrpneg_metadata_features_v1.3.txt	MODIFIED	1.3	1.4	0	549cca6b655c6e9cdb307f46a18a282f	549cca6b655c6e9cdb307f46a18a282f	TRUE	TRUE
gs://pre-cawg/staging_20260511/metabolomics-untargeted/metadata/human-precovid-sed-adu_t11-adipose_metab-u-lrppos_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/metabolomics-untargeted/metadata/human-precovid-sed-adu_t11-adipose_metab-u-lrppos_metadata_features_v1.3.txt	MODIFIED	1.3	1.4	0	8d5a13a9e16f1f4c5de333adde263050	8d5a13a9e16f1f4c5de333adde263050	TRUE	TRUE
gs://pre-cawg/staging_20260511/metabolomics-untargeted/metadata/human-precovid-sed-adu_t11-adipose_metab-u-rpneg_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/metabolomics-untargeted/metadata/human-precovid-sed-adu_t11-adipose_metab-u-rpneg_metadata_features_v1.3.txt	MODIFIED	1.3	1.4	0	71bf48f8ac4ab3f4c64c855b9b056169	71bf48f8ac4ab3f4c64c855b9b056169	TRUE	TRUE
gs://pre-cawg/staging_20260511/metabolomics-untargeted/metadata/human-precovid-sed-adu_t11-adipose_metab-u-rppos_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/metabolomics-untargeted/metadata/human-precovid-sed-adu_t11-adipose_metab-u-rppos_metadata_features_v1.3.txt	MODIFIED	1.3	1.4	0	8dc7be4ee54084f6e72b3e3a74c79549	8dc7be4ee54084f6e72b3e3a74c79549	TRUE	TRUE
gs://pre-cawg/staging_20260511/proteomics/metadata/human-precovid-sed-adu_t02-plasma_prot-ol_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/proteomics/metadata/human-precovid-sed-adu_t02-plasma_prot-ol_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	bbe5849cddfe51a6278d49ce66f57dec	bbe5849cddfe51a6278d49ce66f57dec	TRUE	TRUE
gs://pre-cawg/staging_20260511/proteomics/metadata/human-precovid-sed-adu_t07-adipose_prot-ph_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/proteomics/metadata/human-precovid-sed-adu_t07-adipose_prot-ph_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	40cba6d6124371e94a0f4ef475c15b49	40cba6d6124371e94a0f4ef475c15b49	TRUE	TRUE
gs://pre-cawg/staging_20260511/proteomics/metadata/human-precovid-sed-adu_t07-adipose_prot-pr_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/proteomics/metadata/human-precovid-sed-adu_t07-adipose_prot-pr_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	0717eabc0e12df9abef3f5b95445f141	0717eabc0e12df9abef3f5b95445f141	TRUE	TRUE
gs://pre-cawg/staging_20260511/proteomics/metadata/human-precovid-sed-adu_t10-muscle_prot-ph_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/proteomics/metadata/human-precovid-sed-adu_t10-muscle_prot-ph_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	5d509465708b8f86066064e71f84ae3a	5d509465708b8f86066064e71f84ae3a	TRUE	TRUE
gs://pre-cawg/staging_20260511/proteomics/metadata/human-precovid-sed-adu_t10-muscle_prot-pr_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/proteomics/metadata/human-precovid-sed-adu_t10-muscle_prot-pr_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	2c034a99cda81e1bd7de83d6070a1b9d	2c034a99cda81e1bd7de83d6070a1b9d	TRUE	TRUE
gs://pre-cawg/staging_20260511/transcriptomics/metadata/human-precovid-sed-adu_t04-blood-rna_transcript-rna-seq_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/transcriptomics/metadata/human-precovid-sed-adu_t04-blood-rna_transcript-rna-seq_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	09f15f8741522f27fafa571ece383738	09f15f8741522f27fafa571ece383738	TRUE	TRUE
gs://pre-cawg/staging_20260511/transcriptomics/metadata/human-precovid-sed-adu_t06-muscle_transcript-rna-seq_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/transcriptomics/metadata/human-precovid-sed-adu_t06-muscle_transcript-rna-seq_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	e43cd7e3e70efec71574c1d633b97277	e43cd7e3e70efec71574c1d633b97277	TRUE	TRUE
gs://pre-cawg/staging_20260511/transcriptomics/metadata/human-precovid-sed-adu_t11-adipose_transcript-rna-seq_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/transcriptomics/metadata/human-precovid-sed-adu_t11-adipose_transcript-rna-seq_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	b0c3dbaed4d6763dd7b3faa3f34cbd6b	b0c3dbaed4d6763dd7b3faa3f34cbd6b	TRUE	TRUE
